time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-18 00:00:00+00:00,15,11,122,17
2024-06-19 00:00:00+00:00,12,11,488,52
2024-06-20 00:00:00+00:00,9,7,180,28
2024-06-21 00:00:00+00:00,9,4,67,18
2024-06-22 00:00:00+00:00,5,5,126,18
2024-06-23 00:00:00+00:00,7,7,1632,131
2024-06-24 00:00:00+00:00,7,5,381,116
2024-06-25 00:00:00+00:00,4,4,357,51
2024-06-26 00:00:00+00:00,5,5,145,35
2024-06-27 00:00:00+00:00,1,1,155,43
2024-06-28 00:00:00+00:00,4,4,242,41
2024-06-29 00:00:00+00:00,3,2,156,23
