url_path,views_total,views_unique
/vishal2376/scroll-block,660,428
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock,323,75
/vishal2376/scroll-block/tree/master/app,256,84
/vishal2376/scroll-block/tree/master/app/src,234,81
/vishal2376/scroll-block/tree/master/app/src/main,229,80
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/presentation,129,37
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/services,124,40
/vishal2376/scroll-block/blob/master/app/src/main/java/com/vishal2376/scrollblock/services/ScrollAccessibility.kt,109,40
/vishal2376/scroll-block/releases/tag/v1.0-beta02,108,79
/vishal2376/scroll-block/releases,100,61
