url_path,views_total,views_unique
/vishal2376/scroll-block,684,442
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock,325,76
/vishal2376/scroll-block/tree/master/app,269,89
/vishal2376/scroll-block/tree/master/app/src,239,83
/vishal2376/scroll-block/tree/master/app/src/main,231,81
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/presentation,134,38
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/services,124,40
/vishal2376/scroll-block/releases/tag/v1.0-beta02,115,83
/vishal2376/scroll-block/blob/master/app/src/main/java/com/vishal2376/scrollblock/services/ScrollAccessibility.kt,114,42
/vishal2376/scroll-block/releases,100,61
