url_path,views_total,views_unique
/vishal2376/scroll-block,720,463
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock,334,77
/vishal2376/scroll-block/tree/master/app,281,93
/vishal2376/scroll-block/tree/master/app/src,244,84
/vishal2376/scroll-block/tree/master/app/src/main,237,82
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/presentation,139,39
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/services,127,41
/vishal2376/scroll-block/releases/tag/v1.0-beta02,125,87
/vishal2376/scroll-block/blob/master/app/src/main/java/com/vishal2376/scrollblock/services/ScrollAccessibility.kt,116,43
/vishal2376/scroll-block/releases,101,62
